"Country.Name";"Country.Code";"Indicator.Name";"Indicator.Code";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"Aruba";"ABW";"Other greenhouse gas emissions (% change from 1990)";"EN.ATM.GHGO.ZG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-350;58,33333333;-275;241,6666667;100;-116,6666667;166,6666667;-200;-83,33333333;16,66666667;16,66666667;-295,8333333;-83,33333333;-137,5;-204,1666667;-166,6666667;-141,6666667;-291,6666667;0;-137,5;-216,6666667;-33,33333333;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)";"EN.ATM.GHGO.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,44e-16;-6,66e-16;-4e-15;4,44e-16;3,11e-15;-6,66e-16;-1,33e-14;7,99e-15;3,2e-14;2,4e-14;1,42e-14;-5,15e-14;6,84e-14;-4,17e-14;-7,9e-14;3,02e-14;1,42e-14;-4,8e-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from solid fuel consumption (% of total)";"EN.ATM.CO2E.SF.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from solid fuel consumption (kt)";"EN.ATM.CO2E.SF.KT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions (kg per 2011 PPP $ of GDP)";"EN.ATM.CO2E.PP.GD.KD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,710136933;0,675418313;0,554510096;0,563371618;0,526641959;0,531068588;0,531766062;0,512923576;0,517697098;0,514496997;0,629363273;0,656631425;0,687120848;0,708259831;0,670417987;0,688349919;0,680275207;0,694397932;0,654409835;0,723275521;0,716385715;0,690496144;0,377759214;0,231512667;0,232496052;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions (kg per PPP $ of GDP)";"EN.ATM.CO2E.PP.GD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,098716742;1,011337926;0,81179077;0,805596597;0,737382327;0,728388481;0,716269225;0,679263475;0,678224564;0,663872786;0,794020513;0,809964412;0,834758968;0,843617763;0,777173726;0,773085985;0,741244274;0,737018202;0,681212985;0,74722457;0,731176411;0,690496144;0,370926555;0,223712251;0,220701626;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions (metric tons per capita)";"EN.ATM.CO2E.PC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,868319392;7,235198033;10,02617921;10,6347326;26,37450321;26,0461298;21,4425588;22,00078616;21,03624511;20,77193616;20,31835337;20,42681771;20,58766915;20,31156677;26,19487524;25,93402441;25,67116178;26,42045209;26,51729342;27,20070778;26,94826047;27,895574;26,23084664;25,91583295;24,67052887;24,5058352;13,15554169;8,351294252;8,408362638;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from liquid fuel consumption (% of total)";"EN.ATM.CO2E.LF.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from liquid fuel consumption (kt)";"EN.ATM.CO2E.LF.KT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;179,683;447,374;612,389;649,059;1639,149;1683,153;1463,133;1595,145;1613,48;1668,485;1690,487;1745,492;1796,83;1807,831;2379,883;2409,219;2438,555;2563,233;2618,238;2720,914;2717,247;2823,59;2658,575;2629,239;2508,228;2500,894;1349,456;861,745;872,746;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions (kt)";"EN.ATM.CO2E.KT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;179,683;447,374;612,389;649,059;1639,149;1683,153;1463,133;1595,145;1613,48;1668,485;1690,487;1745,492;1796,83;1807,831;2379,883;2409,219;2438,555;2563,233;2618,238;2720,914;2717,247;2823,59;2658,575;2629,239;2508,228;2500,894;1349,456;861,745;872,746;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions (kg per 2010 US$ of GDP)";"EN.ATM.CO2E.KD.GD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,183049756;0,392628096;0,452976027;0,428164651;1,040094834;0,98924456;0,812157571;0,825136509;0,771340788;0,777824204;0,778845752;0,751248297;0,758239787;0,753552792;0,921790515;0,961728537;1,006384559;1,037345555;0,981920883;1,008184706;0,996358161;1,017042867;0,958474707;1,059338133;1,049247048;1,011328153;0,553281189;0,339082672;0,340522976;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from gaseous fuel consumption (% of total)";"EN.ATM.CO2E.GF.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
"Aruba";"ABW";"CO2 emissions from gaseous fuel consumption (kt)";"EN.ATM.CO2E.GF.KT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
"Aruba";"ABW";"CO2 intensity (kg per kg of oil equivalent energy use)";"EN.ATM.CO2E.EG.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Energy use (kg of oil equivalent per capita)";"EG.USE.PCAP.KG.OE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Electric power consumption (kWh per capita)";"EG.USE.ELEC.KH.PC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
